age,workclass,education-num,hrs per week,salary
28, Private,13,40, <=50K
31, Private,14,50, >50K
30, State-gov,13,40, >50K
40, Private,16,60, >50K
48, Self-emp-not-inc,12,40, <=50K
53, Self-emp-not-inc,13,40, <=50K
57, Federal-gov,13,40, >50K
29, Private,11,43, <=50K
47, Private,15,60, >50K
42, Private,16,45, >50K
19, Private,10,32, <=50K
79, Private,10,20, <=50K
33, Private,14,50, <=50K
43, Federal-gov,16,50, >50K
57, Private,11,40, <=50K
48, Self-emp-not-inc,16,60, >50K
47, Self-emp-not-inc,14,50, <=50K
38, Private,15,40, >50K
29, State-gov,13,50, >50K
38, Federal-gov,14,40, >50K
45, Private,11,40, >50K
66, Local-gov,11,20, <=50K
28, State-gov,13,40, >50K
33, Private,13,65, <=50K
31, Private,14,50, <=50K
58, State-gov,16,1, >50K
35, Private,14,40, >50K
26, Private,14,40, <=50K
42, Local-gov,10,40, <=50K
45, Private,13,55, <=50K
28, Private,15,55, >50K
40, Private,13,40, >50K
41, Private,15,40, >50K
36, Private,13,40, <=50K
33, Private,13,45, <=50K
27, Local-gov,14,35, <=50K
30, Private,9,40, <=50K
22, Private,13,15, <=50K
60, Private,13,42, <=50K
41, Private,15,60, >50K
36, Private,13,45, <=50K
31, Private,9,40, <=50K
46, Private,12,33, <=50K
36, Self-emp-not-inc,13,40, >50K
43, Private,10,50, >50K
49, Private,14,60, <=50K
31, Private,13,25, <=50K
62, Private,14,40, >50K
36, Federal-gov,14,40, <=50K
47, Local-gov,14,40, <=50K
40, Self-emp-not-inc,13,40, <=50K
33, Private,14,50, >50K
29, Private,13,40, <=50K
44, Private,10,40, >50K
32, Private,13,50, <=50K
60, Private,10,40, >50K
28, State-gov,13,20, <=50K
45, Local-gov,13,40, <=50K
34, Private,9,25, <=50K
26, Private,10,35, <=50K
34, Private,10,50, >50K
34, Private,13,50, >50K
44, Self-emp-not-inc,14,40, <=50K
67, Private,15,48, >50K
29, Private,16,40, <=50K
47, Private,10,50, >50K
52, Self-emp-not-inc,13,60, >50K
51, Private,9,40, <=50K
27, Private,16,70, <=50K
58, Local-gov,13,40, <=50K
57, Self-emp-inc,13,80, <=50K
31, Private,13,40, >50K
42, Self-emp-not-inc,15,50, >50K
49, Private,13,45, <=50K
52, Private,14,60, <=50K
26, Local-gov,13,40, <=50K
46, Private,15,45, >50K
