location,title,company,salary,summary
"Charlotte, NC",Sr. Data Scientist,ACT-Consulting,$102 an hour,Coordinate and lead meetings to review the overall solution design and the detailed design of all components of the solution....
"San Mateo, CA",Jr. Data Scientist,Harnham,"$130,000 a year",Associate Data Scientist. This is an exciting opportunity for anyone looking to utilize Data Analytics and Machine learning to inform decisions whilst being...
"Minneapolis, MN 55439",Sr. Data Scientist,RED SKY Consulting,"$120,000 a year","Data Architect, BI Architect, Data Scientist, Data Architect, Data Scientist, BI Architect, business intelligence architect, ETL developers, marketing, Customer..."
"Manhattan, NY",Jr. Data Scientist,DEPARTMENT OF TRANSPORTATION,"$60,189 - $83,440 a year","Establish and monitor best practices, policies, procedures and documentation around Citi Bike system data; Analyze software systems in a SQL Server environment..."
"New York, NY",Jr. Data Scientist,"Envisagenics, Inc.","$65,000 - $110,000 a year","We are looking for experts in machine learning, Genomics, RNA-seq and/or biological data interpretation...."
"New York, NY",Chief Data Scientist,Harnham,"$220,000 a year",Chief Data Scientist - Consulting. Chief Data Scientist | Data Science | Insurance | Management Consulting | Project Management | Statistical Modeling....
"Cambridge, MA",Data Scientist,AA Search,"$160,000 a year","Master‰Ûªs degree or Ph.D in Computer Science, Applied Statistics, Engineering, Mathematics, Physics or other qualitative discipline with specialization and..."
"Los Angeles, CA",Data Scientist,MACP Los Angeles,"$185,000 a year",We are looking for a Senior Data Scientist with experience applying state of the art machine learning algorithms to massive data sets.Some of the projects that...
"New York, NY",Data Scientist,indify,"$90,000 - $170,000 a year",Indify data scientists contribute to all aspects of the platform and are a vital part of envisioning and creating the future of our product....
"New York, NY",Data Scientist,WorldCover,"$70,000 - $110,000 a year","Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our..."
"New York, NY",Data Scientist,Scienaptic Systems Inc,"$100,000 a year","As our representative in front of client, you will have the opportunity to construct and deliver high end analytics solutions delivered from a cutting edge big..."
"New York, NY 10038 (Financial District area)",Data Scientist,Enterprise Select,"$130,000 a year","Deep knowledge of applied statistics and machine learning. Collaborate with the business to identify problems, perform advanced analytics, and develop machine..."
"New York, NY 10018 (Clinton area)",Data Scientist,Princeton Consulting,"$100,000 - $200,000 a year","Experience with Scala, AWS, R, docker, web-scraping. Proficent with Python Or SQL. Ability to visualize and communicate data science concepts to other team..."
"Palo Alto, CA",Data Scientist,Keyo,"$120,000 - $200,000 a year","We‰Ûªre looking for talented junior and senior data scientists to join our diverse and fast-growing data team. As a data scientist, you‰Ûªll build and implement the..."
"Santa Clara, CA",Data Scientist,Flexton inc,$50 an hour,"Data science toolkits, such as R, Weka, NumPy, MatLab:. ) for Data Scientist position in Santa Clara, CA. Experience with common data science toolkits, such as..."
"Santa Clara, CA",Data Scientist,ITStaff Technical Resources,"$85,000 - $120,000 a year","Scientific programming experience (Matlab, R, Python, etc.). You must be driven to learn new concepts from chemistry, physics, algorithm development and..."
"San Jose, CA 95113 (Downtown area)",Data Scientist,Jobspring Partners,"$160,000 a year",They are working on a custom analytics platform that gathers your data with publicly available sources to learn all you can about best-fit physicians and...
