"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2014","Female","Not applicable","Percent","35.23734"
"Afghanistan","2014","Male","Not applicable","Percent","61.51051"
"Afghanistan","2014","All genders","Not applicable","Percent","48.75032"
"Afghanistan","2013","All genders","Not applicable","Percent","48.87529"
"Afghanistan","2013","Male","Not applicable","Percent","62.10465"
"Afghanistan","2013","Female","Not applicable","Percent","34.86011"
"Afghanistan","2007","Female","Not applicable","Percent","15.21353"
"Afghanistan","2007","Male","Not applicable","Percent","40.08844"
"Afghanistan","2007","All genders","Not applicable","Percent","28.04189"
"Afghanistan","1993","Male","Not applicable","Percent","22.13619"
"Afghanistan","1993","Female","Not applicable","Percent","8.34338"
"Afghanistan","1993","All genders","Not applicable","Percent","15.55174"
"Albania","2014","Female","Not applicable","Percent","84.51594"
"Albania","2014","Male","Not applicable","Percent","85.99655"
"Albania","2014","All genders","Not applicable","Percent","85.27821"
"Albania","2013","All genders","Not applicable","Percent","84.02378"
"Albania","2013","Male","Not applicable","Percent","84.22416"
"Albania","2013","Female","Not applicable","Percent","83.81039"
"Albania","2001","Female","Not applicable","Percent","67.32057"
"Albania","2001","Male","Not applicable","Percent","70.17451"
"Albania","2001","All genders","Not applicable","Percent","68.75755"
"Albania","2000","All genders","Not applicable","Percent","67.04211"
"Albania","2000","Male","Not applicable","Percent","68.33194"
"Albania","2000","Female","Not applicable","Percent","65.73566"
"Algeria","1997","All genders","Not applicable","Percent","52.61339"
"Algeria","1997","Female","Not applicable","Percent","51.00487"
"Algeria","1997","Male","Not applicable","Percent","54.16102"
"Algeria","1996","Male","Not applicable","Percent","55.73387"
"Algeria","1996","Female","Not applicable","Percent","49.66347"
"Algeria","1996","All genders","Not applicable","Percent","52.75815"
"Algeria","1995","All genders","Not applicable","Percent","52.24994"
"Algeria","1995","Female","Not applicable","Percent","48.85148"
"Algeria","1995","Male","Not applicable","Percent","55.51804"
"Algeria","1984","Male","Not applicable","Percent","44.96799"
"Algeria","1984","Female","Not applicable","Percent","32.31056"
"Algeria","1984","All genders","Not applicable","Percent","38.77885"
"Angola","2010","All genders","Not applicable","Percent","12.37506"
"Angola","2010","Female","Not applicable","Percent","11.09416"
"Angola","2010","Male","Not applicable","Percent","13.66366"
"Angola","2009","Male","Not applicable","Percent","11.22318"
"Angola","2009","Female","Not applicable","Percent","9.99415"
"Angola","2009","All genders","Not applicable","Percent","10.60603"
"Angola","2008","All genders","Not applicable","Percent","10.1277"
"Angola","2008","Female","Not applicable","Percent","9.49724"
"Angola","2008","Male","Not applicable","Percent","10.76505"
"Angola","1982","Male","Not applicable","Percent","7.58563"
"Angola","1982","Female","Not applicable","Percent","4.04609"
"Angola","1982","All genders","Not applicable","Percent","5.8063"
"Antigua and Barbuda","2014","Female","Not applicable","Percent","81.3429"
"Antigua and Barbuda","2014","Male","Not applicable","Percent","78.15631"
"Antigua and Barbuda","2014","All genders","Not applicable","Percent","79.73144"
"Antigua and Barbuda","2012","All genders","Not applicable","Percent","90.92281"
"Antigua and Barbuda","2010","All genders","Not applicable","Percent","85.54702"
"Antigua and Barbuda","2009","All genders","Not applicable","Percent","86.49334"
"Antigua and Barbuda","2000","All genders","Not applicable","Percent","69.10701"
"Antigua and Barbuda","2000","Male","Not applicable","Percent","72.00504"
"Antigua and Barbuda","2000","Female","Not applicable","Percent","66.55565"
"Argentina","2013","All genders","Not applicable","Percent","88.16032"
"Argentina","2013","Male","Not applicable","Percent","85.23631"
"Argentina","2013","Female","Not applicable","Percent","91.18256"
"Argentina","2012","Female","Not applicable","Percent","90.83407"
"Argentina","2012","Male","Not applicable","Percent","83.91633"
"Argentina","2012","All genders","Not applicable","Percent","87.3181"
"Argentina","2011","All genders","Not applicable","Percent","85.22158"
"Argentina","2011","Male","Not applicable","Percent","81.30996"
"Argentina","2011","Female","Not applicable","Percent","89.26505"
"Argentina","2010","Female","Not applicable","Percent","87.84854"
"Argentina","2010","Male","Not applicable","Percent","80.2717"
"Argentina","2010","All genders","Not applicable","Percent","83.99682"
"Argentina","2009","All genders","Not applicable","Percent","82.40899"
"Argentina","2009","Male","Not applicable","Percent","78.02828"
"Argentina","2009","Female","Not applicable","Percent","86.93692"
"Argentina","2008","Female","Not applicable","Percent","85.1243"
"Argentina","2008","Male","Not applicable","Percent","75.72478"
"Argentina","2008","All genders","Not applicable","Percent","80.34799"
"Argentina","2007","All genders","Not applicable","Percent","79.19828"
"Argentina","2007","Male","Not applicable","Percent","74.91031"
"Argentina","2007","Female","Not applicable","Percent","83.62576"
"Argentina","2006","Female","Not applicable","Percent","83.198"
"Argentina","2006","Male","Not applicable","Percent","75.1425"
"Argentina","2006","All genders","Not applicable","Percent","79.1071"
"Argentina","2005","All genders","Not applicable","Percent","78.98121"
"Argentina","2005","Male","Not applicable","Percent","75.48212"
"Argentina","2005","Female","Not applicable","Percent","82.58938"
"Argentina","2004","Female","Not applicable","Percent","82.54893"
"Argentina","2004","Male","Not applicable","Percent","76.26188"
"Argentina","2004","All genders","Not applicable","Percent","79.35903"
"Argentina","2003","All genders","Not applicable","Percent","79.16624"
"Argentina","2003","Male","Not applicable","Percent","76.59964"
"Argentina","2003","Female","Not applicable","Percent","81.80748"
"Argentina","2002","Female","Not applicable","Percent","81.7281"
"Argentina","2002","Male","Not applicable","Percent","77.05671"
"Argentina","2002","All genders","Not applicable","Percent","79.35948"
"Argentina","2001","All genders","Not applicable","Percent","79.45185"
"Argentina","2001","Male","Not applicable","Percent","77.08539"
"Argentina","2001","Female","Not applicable","Percent","81.88577"
"Argentina","2000","Female","Not applicable","Percent","81.35912"
"Argentina","2000","Male","Not applicable","Percent","76.64325"
"Argentina","2000","All genders","Not applicable","Percent","78.96792"
"Argentina","1999","All genders","Not applicable","Percent","76.6031"
"Argentina","1999","Male","Not applicable","Percent","73.95143"
"Argentina","1999","Female","Not applicable","Percent","79.32988"
"Argentina","1998","Female","Not applicable","Percent","77.2202"
"Argentina","1998","Male","Not applicable","Percent","71.98139"
"Argentina","1998","All genders","Not applicable","Percent","74.56531"
"Argentina","1975","Male","Not applicable","Percent","39.04097"
"Argentina","1975","Female","Not applicable","Percent","44.48869"
"Argentina","1975","All genders","Not applicable","Percent","41.72664"
"Armenia","2009","All genders","Not applicable","Percent","89.10058"
"Armenia","2008","All genders","Not applicable","Percent","84.05499"
"Armenia","2008","Female","Not applicable","Percent","90.66906"
"Armenia","2008","Male","Not applicable","Percent","78.62276"
"Armenia","2007","Male","Not applicable","Percent","84.38194"
"Armenia","2007","Female","Not applicable","Percent","96.93923"
"Armenia","2007","All genders","Not applicable","Percent","90.15799"
"Armenia","2006","All genders","Not applicable","Percent","87.93843"
"Armenia","2005","All genders","Not applicable","Percent","85.59681"
"Aruba","2011","Male","Not applicable","Percent","73.34535"
"Aruba","2011","Female","Not applicable","Percent","80.68243"
"Aruba","2011","All genders","Not applicable","Percent","76.93623"
"Aruba","2009","All genders","Not applicable","Percent","77.71421"
"Aruba","2009","Female","Not applicable","Percent","80.95112"
"Aruba","2009","Male","Not applicable","Percent","74.57757"
"Aruba","2008","Male","Not applicable","Percent","71.15534"
"Aruba","2008","Female","Not applicable","Percent","77.85939"
"Aruba","2008","All genders","Not applicable","Percent","74.48249"
"Aruba","2007","All genders","Not applicable","Percent","80.51711"
"Aruba","2007","Female","Not applicable","Percent","81.81818"
"Aruba","2007","Male","Not applicable","Percent","79.20922"
"Aruba","2005","Male","Not applicable","Percent","74.49481"
"Aruba","2005","Female","Not applicable","Percent","75.71885"
"Aruba","2005","All genders","Not applicable","Percent","75.11459"
"Aruba","2004","All genders","Not applicable","Percent","73.44491"
"Aruba","2004","Female","Not applicable","Percent","73.45475"
"Aruba","2004","Male","Not applicable","Percent","73.43486"
"Aruba","2003","Male","Not applicable","Percent","69.87496"
"Aruba","2003","Female","Not applicable","Percent","74.80676"
"Aruba","2003","All genders","Not applicable","Percent","72.36007"
"Aruba","2002","All genders","Not applicable","Percent","76.79607"
"Aruba","2002","Female","Not applicable","Percent","79.27661"
"Aruba","2002","Male","Not applicable","Percent","74.29851"
"Aruba","2001","Female","Not applicable","Percent","74.25168"
"Aruba","2001","All genders","Not applicable","Percent","72.42378"
"Aruba","2001","Male","Not applicable","Percent","70.60256"
"Aruba","2000","Male","Not applicable","Percent","74.79826"
"Aruba","2000","All genders","Not applicable","Percent","76.80775"
"Aruba","2000","Female","Not applicable","Percent","78.84313"
"Aruba","1999","Female","Not applicable","Percent","81.02498"
"Aruba","1999","All genders","Not applicable","Percent","77.81521"
"Aruba","1999","Male","Not applicable","Percent","74.67471"
"Australia","2013","Female","Not applicable","Percent","88.17805"
"Australia","2013","Male","Not applicable","Percent","85.57101"
"Australia","2013","All genders","Not applicable","Percent","86.83034"
"Australia","2012","All genders","Not applicable","Percent","86.11638"
"Australia","2012","Male","Not applicable","Percent","84.68927"
"Australia","2012","Female","Not applicable","Percent","87.64733"
"Australia","2011","Female","Not applicable","Percent","87.9113"
"Australia","2011","Male","Not applicable","Percent","84.99094"
"Australia","2011","All genders","Not applicable","Percent","86.39829"
"Australia","2010","All genders","Not applicable","Percent","86.23238"
"Australia","2010","Male","Not applicable","Percent","84.702"
"Australia","2010","Female","Not applicable","Percent","87.88129"
"Australia","2009","Female","Not applicable","Percent","87.79325"
"Australia","2009","Male","Not applicable","Percent","84.29225"
"Australia","2009","All genders","Not applicable","Percent","85.97519"
"Australia","2008","All genders","Not applicable","Percent","84.81926"
"Australia","2008","Male","Not applicable","Percent","82.82598"
"Australia","2008","Female","Not applicable","Percent","86.97543"
"Australia","2007","Female","Not applicable","Percent","86.56282"
"Australia","2007","Male","Not applicable","Percent","82.47627"
"Australia","2007","All genders","Not applicable","Percent","84.43958"
"Australia","2006","All genders","Not applicable","Percent","84.37379"
"Australia","2006","Male","Not applicable","Percent","82.39372"
"Australia","2006","Female","Not applicable","Percent","86.51075"
"Australia","2005","Female","Not applicable","Percent","87.02086"
"Australia","2005","Male","Not applicable","Percent","83.04458"
"Australia","2005","All genders","Not applicable","Percent","84.96111"
"Australia","2004","Female","Not applicable","Percent","87.75382"
"Australia","2004","Male","Not applicable","Percent","84.91983"
"Australia","2004","All genders","Not applicable","Percent","86.28893"
"Australia","2003","All genders","Not applicable","Percent","86.6425"
"Australia","2003","Male","Not applicable","Percent","85.37284"
"Australia","2003","Female","Not applicable","Percent","87.99625"
"Australia","2002","Female","Not applicable","Percent","89.90237"
"Australia","2002","Male","Not applicable","Percent","86.86818"
"Australia","2002","All genders","Not applicable","Percent","88.3386"
"Australia","1996","All genders","Not applicable","Percent","88.63548"
"Australia","1996","Male","Not applicable","Percent","88.06264"
"Australia","1996","Female","Not applicable","Percent","89.23722"
"Australia","1995","Female","Not applicable","Percent","87.83912"
"Australia","1995","Male","Not applicable","Percent","86.17246"
"Australia","1995","All genders","Not applicable","Percent","86.98398"
"Australia","1994","All genders","Not applicable","Percent","86.81789"
"Australia","1994","Male","Not applicable","Percent","85.77855"
"Australia","1994","Female","Not applicable","Percent","87.91276"
"Australia","1993","Female","Not applicable","Percent","87.83741"
"Australia","1993","Male","Not applicable","Percent","85.85385"
"Australia","1993","All genders","Not applicable","Percent","86.82004"
"Austria","1976","All genders","Not applicable","Percent","70.62379"
"Austria","1975","All genders","Not applicable","Percent","70.26343"
"Azerbaijan","2014","All genders","Not applicable","Percent","88.04755"
